,#Karmn,Name
0,J00012+139N,BD+13 5195
1,J00012+139S,BD+13 5195B
2,J00026+383,2M J00024011+3821453
3,J00033+046,StKM 1-2199
4,J00051+457,GJ 2
5,J00056+458,HD 38B
6,J00067-075,GJ 1002
7,J00077+603,G 217-032
8,J00078+676,2M J00075079+6736255
9,J00079+080,LP 524-065
10,J00081+479,1RXS J000806.3+475659
11,J00084+174,MCC 351
12,J00088+208,LP 404-033
13,J00110+052,G 031-029
14,J00115+591,LSR J0011+5908
15,J00118+229,LP 348-040
16,J00119+330,G 130-053
17,J00122+304,2M J00121341+3028443
18,J00131+703,TYC 4298-613-1
19,J00132+693,GJ 11 AB
20,J00133+275,2M J00131951+2733310
21,J00136+806,G 242-048
22,J00137+806,LP 012-304
23,J00154-161,GJ 1005 AB
24,J00156+722,G 242-049
25,J00158+135,GJ 12
26,J00159-166,BPS CS 31060-0015
27,J00162+198E,LP 404-062
28,J00162+198W,EZ Psc
29,J00169+051,GJ 1007
30,J00169+200,G 131-047
31,J00173+291,Ross 680
32,J00176-086,BD-09 40
33,J00179+209,LP 404-081
34,J00182+102,GJ 16
35,J00183+440,GX And
36,J00184+440,GQ And
37,J00188+278,LP 292-066
38,J00201-170,LP 764-108
39,J00204+330,LP 292-067
40,J00207+596,[I81] M 134
41,J00209+176,StKM 1-25
42,J00210+557,G 217-043
43,J00218+382,G 171-051
44,J00219+492,LP 149-056
45,J00234+243,GJ 1011
46,J00234+771,GJ 1010 A
47,J00235+771,GJ 1010 B
48,J00240+264,LSPM J0024+2626
49,J00244+360,G 130-067
50,J00245+300,G 130-068
51,J00253+228,LP 349-018
52,J00268+701,GJ 21
53,J00271+496,G 217-051
54,J00279+223,LP 349-025 AB
55,J00286-066,GJ 1012
56,J00288+503,G 172-001 AB
57,J00315-058,GJ 1013
58,J00322+544,G 217-056
59,J00324+672N,V547 Cas Aab
60,J00324+672S,V547 Cas B
61,J00325+074,LP 525-039 AB
62,J00328-045,GR* 50 AB
63,J00333+368,G 132-004
64,J00341+253,V493 And
65,J00346+711,LP 028-158
66,J00357+025,NLTT 1930
67,J00358+526,NLTT 1920
68,J00359+104,GJ 1014
69,J00361+455,G 172-013
70,J00374+515,G 172-014
71,J00380+169,2M J00380386+1656028
72,J00382+523,G 218-005
73,J00385+514,G 172-015
74,J00389+306,Wolf 1056
75,J00395+149N,LP 465-062
76,J00395+149S,LP 465-061
77,J00395+605,G 217-061
78,J00409+313,G 069-011
79,J00413+558,GJ 1015 A
80,J00427+438,2M J00424780+4349248
81,J00428+355,FF And
82,J00435+284,GJ 1019
83,J00443+091,NLTT 2413
84,J00443+126,G 032-044
85,J00449-152,NLTT 2465
86,J00459+337,G 132-025 AB
87,J00463+353,HAT 163-01012
88,J00464+506,G 172-022
89,J00468+160,2M J00465328+1603028
90,J00484+753,LSPM J0048+7518
91,J00487+270,G 069-024
92,J00489+445,LP 193-584 AB
93,J00490+657,2M J00490477+6544377
94,J00502+086,RX J0050.2+0837 2
95,J00505+248,FT Psc AB
96,J00511+225,BPM 84579
97,J00514+583,Wolf 33
98,J00515-229,HD 4967 B
99,J00520+205,StKM 2-77
100,J00532+190,LSPM J0053+1903
101,J00538+459,G 172-028
102,J00540+691,Ross 317
103,J00548+275,G 069-032
104,J00566+174,GJ 1024
105,J00570+450,G 172-030
106,J00577+058,BD+05 127
107,J00580+393,1RXS J005802.4+391912
108,J01008+669,LP 051-017
109,J01009-044,GJ 1025
110,J01013+613,GJ 47
111,J01019+541,G 218-020
112,J01025+716,BD+70 68
113,J01026+623,BD+61 195
114,J01032+200,GJ 1026 AB
115,J01032+316,LP 294-040
116,J01032+712,G 242-077
117,J01033+623,V388 Cas
